#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
155892	2609000	5638000	4123726	11
156630	27042000	40564000	33802943	5
156980	2923000	4386000	3654475	4
157268	1317000	1976000	1646265	7
157687	1893000	2841000	2366708	6
157782	3208000	6697000	4952671	8
158627	4721000	7083000	5901685	4
158787	2515000	3773000	3143954	5
158822	3886000	6283000	5084351	6
158836	3967000	5952000	4959822	841
158847	1524000	2937000	2230342	5
158849	2659000	3990000	3324506	4
158850	3116000	4676000	3896203	9
158877	3827000	5742000	4784486	8
159743	3041000	9126000	6083395	5
160453	3306000	4960000	4133234	4
160808	2198000	4330000	3264018	6
161398	3748000	5623000	4685668	7
161879	2012000	3019000	2515269	6
161934	240985000	722956000	481970046	10
162145	10000	17000	13335	5
162426	2350000	4659000	3504460	4
163011	5223000	7836000	6529736	5
163665	3161000	4742000	3951265	4
164328	20478000	61436000	40957193	24
164514	490000	736000	612964	11
164546	5391000	8088000	6739791	44
165096	1098000	1951000	1524363	4
165179	2687000	4648000	3667219	112
166486	3060000	5561000	4310506	12
168471	2637000	3957000	3296800	4
168695	4191000	6287000	5239114	11
168697	4584000	6877000	5730171	47
168935	3643000	5466000	4554590	5
169292	1365000	4096000	2730325	29
169430	8958000	13439000	11198650	7
169435	2842000	4596000	3718888	7
169669	5076000	7616000	6345885	4
169679	4086000	6130000	5107995	8
170573	1977000	2967000	2472221	18
170623	2462000	7389000	4925359	6
170673	3780000	5671000	4725621	12
170679	4263000	6396000	5329810	4
171693	2940000	4411000	3675175	4
172042	1294000	3884000	2588680	7
172045	3435000	5154000	4294235	16
172278	2210	3315	2763	5
172827	2401000	3603000	3002235	4
173365	2623000	6593000	4607785	7
174633	1882000	5647000	3764664	7
174685	1839000	2760000	2299658	4
176102	3610000	5417000	4513688	4
176275	27943000	41916000	34929601	10
176292	1656000	2486000	2071032	4
178214	1521000	2283000	1901777	4
178606	1250000	3222000	2235649	19
178901	2321000	4706000	3513430	7
179636	3805000	5709000	4757340	4
179879	5918000	8879000	7398701	12
180088	31680000	47521000	39600252	4
180170	89000	135000	112080	7
180282	5160000	8179000	6669708	8
180332	5761000	8643000	7202111	4
180957	3852000	5780000	4815938	27
181343	28901000	43352000	36126572	7
181667	6586	9879	8233	5
182337	4020000	6032000	5026058	5
183417	3072000	4609000	3840306	4
183795	5037000	7556000	6296596	6
184870	1621000	2570000	2095589	5
184917	2908000	6328000	4618083	4
185008	2711000	4067000	3388930	4
185793	2189	3284	2737	7
186540	15000	22000	18875	1
186541	15000	22000	18935	1
186805	120000	181000	150194	11
187304	5284000	7928000	6606192	4
187327	1795000	2693000	2243882	5
187452	1571000	2358000	1964414	4
188144	4377000	6566000	5471633	16
189381	3366000	5324000	4344713	10
189382	3510000	5561000	4535833	8
189426	5567000	8351000	6958935	35
189691	6247000	9372000	7809407	5
190061	35000	53000	43804	9
190063	34000	53000	43722	44
190064	34000	53000	43586	22
190065	35000	53000	43845	25
190721	4790000	7186000	5987762	5
190893	4544000	6817000	5680628	15
190895	4294000	6443000	5368584	11
191390	5000000	7501000	6250362	5
191770	1899000	3092000	2495561	4
191960	3197000	5108000	4152632	4
193462	6564000	9847000	8205019	4
194440	7226	11000	9033	4
194441	7165	11000	8957	9
194963	5362000	8044000	6702527	6
195105	3300000	4951000	4125358	4
196024	3830000	5746000	4787505	21
196064	23913000	71742000	47827394	9
196093	2192	3288	2740	4
196367	4520000	13561000	9040390	8
197575	1539000	2310000	1924280	6
197614	1727000	2592000	2159802	11
198252	530000	1593000	1061964	26
198618	5361000	8042000	6701403	5
198620	4898000	7349000	6123544	14
199306	19479000	31862000	25670559	10
199592	2622000	4312000	3467278	7
200450	4313000	6956000	5634567	5
200451	4000000	8353000	6176400	9
200452	4534000	6802000	5667544	8
202611	3190000	5836000	4512819	4
202950	2881000	4323000	3602029	6
202951	2367000	4359000	3363059	4
202954	2721000	4865000	3793054	6
202956	2340000	3511000	2925028	6
204038	3893000	5841000	4866667	6
204039	3879000	5820000	4849661	12
204042	3717000	5576000	4646517	11
204516	3423000	5463000	4443004	5
205686	32955000	49433000	41193965	4
206506	3171000	4757000	3964094	4
207340	3979000	5970000	4974512	6
208223	3423000	6191000	4807035	7
208224	2494000	7430000	4961697	75
208348	76093000	114140000	95116449	16
208479	3219000	9660000	6439908	18
208962	3408000	6145000	4776341	97
212035	882000	1481000	1181549	7
212663	4403000	6606000	5504582	24
213554	2799000	5436000	4117176	4
214473	2115000	3664000	2889681	8
214851	1368000	4105000	2736079	10
214853	1727000	2843000	2284603	4
214856	2801000	4204000	3502373	5
215358	507198000	865530000	686363793	5
216778	2108000	6326000	4216903	11
216816	1874000	2945000	2409496	711
217203	5157000	7737000	6447136	6
217204	5177000	7767000	6472476	11
218284	3673000	5511000	4591723	6
220608	2207	3310	2759	5
220697	3583000	5754000	4668640	15
220932	2212	3319	2766	5
221822	3397000	5163000	4280038	24
222456	2195	3292	2744	5
222459	2211	3316	2764	9
222805	4804000	7451000	6127393	22
223252	2191	3286	2739	6
223919	4686000	7030000	5857971	4
223967	3694000	7856000	5774611	6
225991	2760000	4702000	3731258	4
225992	2405000	4473000	3439110	7
226665	1023000	1536000	1279369	5
229007	1917000	5754000	3835693	4
229634	2193	3290	2742	5
229636	2188	3282	2735	4
230603	9251000	13878000	11564880	6
231049	2324000	3487000	2905721	4
231455	3641000	5959000	4800211	4
232082	40240000	60361000	50300570	4
233316	3777000	5667000	4721861	5
237258	2198000	3298000	2747749	4
237610	4271000	6408000	5339485	19
237895	7236000	10855000	9045614	12
238834	3974000	5963000	4968461	4
239935	2038000	3484000	2760987	137
240427	2808000	4213000	3510481	5
240865	2210	3315	2763	15
242606	3715000	5574000	4644245	4
244366	2829000	8488000	5658374	295
244566	4852000	7280000	6066243	9
245174	7636000	11455000	9545103	22
246167	4027000	6360000	5193919	75
246432	2187000	3394000	2790683	42
246618	1777000	2667000	2222292	4
246787	4930000	9018000	6974053	20
251747	3819000	5729000	4774135	7
253239	2407000	3612000	3009512	5
254758	3153000	4731000	3942442	13
255045	6630000	9946000	8287509	15
255507	1786000	2681000	2233676	5
255519	3833000	5751000	4792472	4
257438	2753000	4131000	3441823	8
257708	2894000	6882000	4887855	4
257758	1736000	2609000	2172626	64
260554	3306000	4960000	4132653	19
260714	732000	2198000	1465207	5
261299	1706000	4246000	2975531	6
263511	3243000	8528000	5885431	6
263819	3499000	5250000	4374668	8
264951	24366000	36550000	30458061	4
265294	85000	128000	106380	21
265606	5718000	8578000	7147632	6
265959	2998000	4498000	3748084	4
266809	2820000	4231000	3525449	4
267135	2895000	4778000	3836141	9
267363	2175000	3263000	2718994	4
267818	1805000	2709000	2257141	7
268141	4095000	7134000	5614427	6
269673	2614000	3922000	3268069	6
270146	2224	3336	2780	4
270256	3812	5718	4765	4
271420	3378000	5837000	4607758	7
273350	9896	15000	12370	4
273371	9866000	16134000	13000155	4
273384	3291000	5004000	4147494	23
273677	2379000	3569000	2974012	7
279058	3417000	6684000	5050208	4
280145	3223000	4935000	4078968	10
283686	4627000	6941000	5783769	7
283734	2125000	3189000	2657317	228
285458	5621000	12416000	9018469	5
285676	5649000	8475000	7061980	6
288795	13376000	40131000	26753668	23
289078	23260000	34892000	29076056	4
289389	209000	630000	419638	5
291644	4654000	6983000	5818347	43
291645	4432000	6649000	5540380	4
292029	112000	170000	141018	15
292800	2176000	6244000	4209970	16
293089	2696000	7581000	5138310	4
293091	2690000	4037000	3363694	4
293386	2958000	4439000	3698665	10
293387	2995000	4494000	3744850	43
299767	3882000	5824000	4853131	36
300181	4298000	6448000	5373294	4
301148	2445000	3669000	3057066	7
301301	2873000	4311000	3592125	4
301302	1667000	5003000	3334694	7
301375	1311000	3344000	2327414	15
303541	1344000	2017000	1680798	4
304207	2183000	4088000	3135367	8
307251	5186000	8558000	6872031	4
310297	2443000	5607000	4025371	24
310298	2918000	5355000	4136315	4
310300	2738000	4108000	3422915	9
310575	2274000	6823000	4548505	4
311410	5330000	8432000	6880949	4
312279	703000	2110000	1406396	6
314275	2900000	6062000	4480937	17
314722	2659000	4176000	3417743	6
315347	567570000	851356000	709462965	19
315405	1719000	2906000	2312171	26
317735	2830000	4246000	3538145	4
318456	4018000	6028000	5023225	23
318464	2934000	4403000	3668398	4
318683	2664000	3997000	3330482	4
318829	29862000	47467000	38664270	210
321318	2583000	4571000	3577061	4
321662	4877000	7316000	6096453	8
321846	4961000	7443000	6202287	10
321895	6405000	9609000	8007240	4
322505	1921000	2882000	2401553	5
324685	1594	2391	1993	114
324767	4058000	6088000	5073099	4
325452	28057000	48256000	38156499	12
